DamageIndicators,1.7.10,,http://www.minecraftforum.net/forums/mapping-and-modding/minecraft-mods/1286538-hit-splat-damage-indicators-v3-3-2-rpg-ui-and
Mine & Blade: Battlegear 2,1.7.10,Mine &amp; Blade: Battlegear 2 - Bullseye - 1.0.8.0 ,http://minecraft.curseforge.com/mc-mods/59710-mb-battlegear-2/files
Pistronics 2,1.7.10,1.7.10-Pistronics2-V0.5.8.jar,http://www.minecraftforum.net/forums/mapping-and-modding/minecraft-mods/1294844-pistronics-2-modular-pistons-rotators-and-statues
Admin Commands Toolbox,1.7.10,AdminCommandsToolbox-0.0.2a_1.7.10.jar,http://minecraft.curseforge.com/mc-mods/221584-admin-commands-toolbox/files
AE2Stuff,1.7.10,ae2stuff-0.3.1.33-mc1.7.10.jar,http://minecraft.curseforge.com/mc-mods/225194-ae2-stuff/files
Agricraft,1.7.10,AgriCraft-1.7.10-1.3.1.jar,http://minecraft.curseforge.com/mc-mods/225635-agricraft/files
Ancient Warfare 2,1.7.10,Ancient Warfare 2.4.104 Full,http://minecraft.curseforge.com/mc-mods/224602-ancient-warfare-2/files
AOBD,1.7.10,AOBD-2.6.3.jar,http://minecraft.curseforge.com/mc-mods/221863-another-one-bites-the-dust/files
AppleCore,1.7.10,AppleCore-mc1.7.10-1.1.0.jar,http://minecraft.curseforge.com/mc-mods/224472-applecore/files
Applied Energistics 2,1.7.10,,http://ae-mod.info/Downloads/
Aroma1997Core,1.7.10,Aroma1997Core-1.7.10-1.0.2.13,http://minecraft.curseforge.com/mc-mods/223735-aroma1997core/files
Aroma1997's Dimensional World,1.7.10,Aroma1997s-Dimensional-World-1.7.10-1.1.0.1,http://minecraft.curseforge.com/mc-mods/60092-aroma1997s-dimensional-world/files
AromaBackup,1.7.10,AromaBackup-1.7.10-0.0.0.5,http://minecraft.curseforge.com/mc-mods/225658-aromabackup/files
Artifice,1.7.10,Artifice-1.7.10-1.1.5R-396.jar,http://minecraft.curseforge.com/mc-mods/223174-artifice/files
AsieLib,1.7.10,,http://wiki.vex.tty.sh/wiki:asielib
Automagy,1.7.10,v0.24.2,http://minecraft.curseforge.com/mc-mods/222153-automagy/files
Backpack,1.7.10,,http://www.minecraftforum.net/forums/mapping-and-modding/minecraft-mods/1286124-1-6-x-1-7-x-backpacks-v-2-0-1
BDLib,1.7.10,bdlib-1.8.1.87-mc1.7.10.jar,http://minecraft.curseforge.com/mc-mods/70496-bdlib/files
BetterFoliage,1.7.10,BetterFoliage-mc1.7-1.0.13.jar,http://minecraft.curseforge.com/mc-mods/228529-better-foliage/files
BiblioCraft,1.7.10,,http://www.bibliocraftmod.com/changelog/
BiblioWoods,1.7.10,,http://www.bibliocraftmod.com/changelog/
Big Reactors,1.7.10,,http://www.big-reactors.com/#/
Big Trees,1.7.10,,http://www.minecraftforum.net/forums/mapping-and-modding/minecraft-mods/1278469-the-bigtrees-mod
Binnie's Mods,1.7.10,binnie-mods-2.0-pre12.jar,http://minecraft.curseforge.com/mc-mods/223525-binnies-mods/files
Biomes O' Plenty,1.7.10,BiomesOPlenty-1.7.10-2.1.0.1237-universal.jar,http://minecraft.curseforge.com/mc-mods/220318-biomes-o-plenty/files
Blood Magic,1.7.10,BloodMagic-1.7.10-1.3.3-4.jar,http://minecraft.curseforge.com/mc-mods/224791-blood-magic/files
Botania,1.7.10,r1.7-204,http://botaniamod.net/changelog.php
Buildcraft,1.7.10,,http://www.mod-buildcraft.com/pages/download.html
Carpenter's Blocks,1.7.10,,http://www.carpentersblocks.com/downloads.html
ChickenChunks,1.7.10,,http://chickenbones.net/Pages/links.html
Chisel 2,1.7.10,Chisel 2 - 2.3.10,http://minecraft.curseforge.com/mc-mods/225236-chisel-2/files
Chisel Facades,1.7.10,ChiselFacades-1.7.10-2.11-cricket.jar,http://minecraft.curseforge.com/mc-mods/222784-chisel-facades/files
CodeChickenCore,1.7.10,,http://chickenbones.net/Pages/links.html
CoFHCore,1.7.10,CoFHCore-[1.7.10]3.0.2-262.jar,http://minecraft.curseforge.com/mc-mods/69162-cofhcore/files
CoFHLib,1.7.10,CoFHLib-[1.7.10]1.0.2-160.jar,Included in CoFHCore now
Compact Machines,1.7.10,compactmachines-1.7.10-1.19b.jar,http://minecraft.curseforge.com/mc-mods/224218-compact-machines/files
Compacter,1.7.10,,http://minecraft.curseforge.com/mc-mods/231549-compacter/files
ComputerCraft,1.7.10,,http://www.computercraft.info/download/
Computronics,1.7.10,,http://wiki.vex.tty.sh/wiki:computronics
CookieCore,1.7.10,CookieCore 1.7.10-1.3.1-7,http://minecraft.curseforge.com/mc-mods/222908-cookiecore/files
Cosmetic Armor,1.7.10,CosmeticArmor-1.7.10-1.0.5.B8-universal.jar,http://minecraft.curseforge.com/mc-mods/225812-cosmetic-armor/files
CraftHeraldry,1.7.10,,http://www.minecraftforum.net/forums/mapping-and-modding/minecraft-mods/2165317-craftheraldry-coats-of-arms-in-minecraft-over-1200
Dark Menagerie,1.7.10,Dark Menageries Beta 3.1a,http://minecraft.curseforge.com/mc-mods/224039-dark-menagerie/files
Decocraft,1.7.10,Decocraft V2.0.2_1.7.10,http://minecraft.curseforge.com/mc-mods/79616-decocraft2/files
Dense Ores,1.7.10,Dense Ores 1.6.2,http://minecraft.curseforge.com/mc-mods/224942-dense-ores/files
Dimensional Anchors,1.7.10,,http://immibis.com/mcmoddl/
